报告期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业收入(万元),72872,353869,265052,168985,92979,281906,213868,133618,74834,204838,147133,84050,39862,117637,79453,49260,30021,85487,61891,38884,26362,36487,27826,14186,7431,48575,48894,41135,32353,163619,123701,87585,64088,148191,105935,66013,41972,181816,90223,69032,42755,167350,84490,44062,27021,117891,87537,54731,35247,100395,71550,48518,28313,80513,49977,32304,18201,
营业成本(万元),11989,60631,46379,30060,16194,51121,39412,25203,14375,42885,31070,18471,9017,28040,20096,12657,7498,21115,16484,10015,6438,11644,8793,4905,2446,14605,12993,9592,6449,31390,23893,17282,12515,40077,30092,16991,8519,80834,26949,20883,10174,59530,21805,11193,4365,25177,16686,10985,6228,25511,18600,12681,6409,23356,11715,7766,3192,
营业利润(万元),26327,110165,84956,45074,29386,78044,62142,36245,21023,44635,32527,15230,12782,25850,19733,11813,10384,10823,10761,7662,7213,-30745,-16740,-14962,-10409,-15350,2284,13839,11977,50999,48013,34137,26483,40452,29080,21935,18216,37760,20098,18110,16014,48689,22544,14034,12574,48863,36369,22262,13795,43171,28212,17809,11484,22744,12986,7250,5145,
利润总额(万元),25454,109987,84964,45063,29418,73209,57651,31756,21066,41724,32111,14913,12801,26830,20184,12276,9798,10587,10768,7652,7425,-29633,-16248,-14583,-10240,-15893,6790,18271,15429,53910,48371,34239,26519,48218,32521,24288,18229,39970,21585,19093,16017,49950,23405,14864,13388,48781,35497,21408,13870,43180,28188,17811,11487,22754,13020,7271,5159,
所得税费用(万元),6360,27359,21045,11105,7562,15264,11375,5010,5583,8175,7775,3463,3586,4350,5274,3164,1968,1790,3688,2633,2612,12217,-2255,-2413,-1692,-713,3223,4760,3886,19996,16426,11256,8427,16119,11249,8510,5939,16838,10245,7598,5237,18038,8188,4522,3704,17136,12148,7937,4287,22790,15431,10919,6481,12302,7555,3675,1730,
净利润(万元),19094,82628,63920,33959,21856,57945,46276,26745,15483,33549,24336,11450,9215,22479,14910,9112,7831,8797,7080,5019,4813,-41850,-13993,-12170,-8548,-15180,3568,13511,11544,33914,31945,22983,18092,32099,21272,15778,12290,23132,11340,11495,10780,31912,15218,10342,9684,31646,23349,13472,9584,20390,12756,6892,5006,10452,5465,3596,3430,
基本每股收益,0.39,1.69,1.31,0.7,0.45,1.19,0.95,0.55,0.32,0.69,0.5,0.23,0.19,0.46,0.31,0.19,0.16,0.18,0.15,0.1,0.1,-0.86,-0.29,-0.25,-0.18,-0.31,0.07,0.27,0.23,0.69,0.65,0.47,0.37,0.66,0.44,0.33,0.25,0.48,0.24,0.24,0.22,0.66,0.31,0.21,0.2,0.64,0.47,0.27,0.2,0.41,0.26,0.14,0.1,0.21,0.11,0.07,0.07,
货币资金(万元),126504,124329,117418,150475,126179,102587,79421,94815,91252,102957,83665,79469,86405,72489,62205,44531,43444,36425,29048,13030,20923,10830,12496,13357,18252,25276,31499,43479,71548,24694,42620,46624,50455,52073,32094,29280,31714,30699,17983,30010,65332,60749,61429,35414,38263,38179,53591,42440,79452,72239,40267,29665,65267,47767,
应收账款(万元),1950,2887,1875,2534,1213,3429,3008,3570,9626,8181,3521,1154,705,1729,270,89,1104,840,1144,1410,1066,1136,4639,6679,10729,11254,19489,10688,5830,2344,310,1630,1952,637,2165,1831,3631,1392,3135,4482,8057,6708,11073,7636,8376,8628,4686,4793,5329,5528,5347,3561,5074,5283,
存货(万元),160323,152004,145880,142345,135972,134459,127973,122911,119160,92041,86245,76890,79980,80323,72725,73447,68851,71730,73726,75455,74879,77639,77205,77991,77275,76512,74252,75683,125566,123112,115111,111144,105224,104392,106187,106489,110122,110526,148441,144090,141591,90609,112073,110098,101972,94463,91710,89085,100210,95528,90417,87018,88301,86721,
